age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
30.0;self-employed;single;university.degree;no;no;no;cellular;apr;thu;245.0;3;999;0;;-1.8;93.075;-47.1;1.435;5099.1;yes
32.0;technician;married;professional.course;no;yes;no;cellular;nov;thu;370.0;1;999;0;;-0.1;93.2;-42.0;4.076;5195.8;no
27.0;blue collar;single;basic.9y;unknown;yes;yes;cellular;may;thu;623.0;1;999;0;;-1.8;92.893;-46.2;1.327;5099.1;yes
32.0;blue collar;single;basic.6y;unknown;yes;no;telephone;may;fri;9.0;6;999;0;;-1.8;92.893;-46.2;1.25;5099.1;no
27.0;admin.;single;university.degree;no;yes;no;cellular;sep;tue;126.0;2;999;0;;-3.4;92.379;-29.8;0.77;5017.5;yes
34.0;admin.;single;high.school;no;no;no;cellular;jun;fri;548.0;2;999;0;;-2.9;92.963;-40.8;1.268;5076.2;yes
46.0;entrepreneur;married;professional.course;no;no;no;telephone;may;wed;86.0;2;999;0;;1.1;93.994;-36.4;4.858;5191.0;no
;retired;married;basic.9y;unknown;no;no;cellular;aug;wed;707.0;3;999;0;;1.4;93.444;-36.1;4.965;5228.1;yes
46.0;admin.;married;high.school;unknown;yes;no;telephone;jun;mon;96.0;6;999;0;;1.4;94.465;-41.8;4.961;5228.1;no
48.0;blue collar;married;basic.9y;no;yes;no;telephone;may;wed;241.0;2;999;0;;1.1;93.994;-36.4;4.856;5191.0;no
29.0;technician;married;professional.course;no;no;no;cellular;nov;tue;154.0;3;999;1;failure;-0.1;93.2;-42.0;4.153;5195.8;no
20.0;student;single;;no;yes;no;cellular;jun;wed;213.0;1;999;0;;-2.9;92.963;-40.8;1.26;5076.2;yes
56.0;retired;married;university.degree;no;no;no;cellular;nov;wed;232.0;1;3;1;success;-3.4;92.649;-30.1;0.716;5017.5;yes
