age,education,housing,contact_cellular,month,day_of_week,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,job_blue_collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self_employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,loan_unknown,loan_yes
30.0,6,0,1,4,4,2.3909351071033793,0.6989700043360189,0,0,-1.8,93.075,-47.1,1.435,5099.1,yes,False,False,False,False,False,True,False,False,False,False,False,True,False,False
32.0,4,1,1,11,4,2.569373909615046,0.47712125471966244,0,0,-0.1,93.2,-42.0,4.076,5195.8,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
27.0,3,1,1,5,4,2.795184589682424,0.47712125471966244,0,0,-1.8,92.893,-46.2,1.327,5099.1,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,True
32.0,2,1,0,5,5,1.0,0.9030899869919435,0,0,-1.8,92.893,-46.2,1.25,5099.1,no,True,False,False,False,False,False,False,False,False,False,False,True,False,False
27.0,6,1,1,9,2,2.103803720955957,0.6020599913279624,0,0,-3.4,92.379,-29.8,0.77,5017.5,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34.0,5,0,1,6,5,2.739572344450092,0.6020599913279624,0,0,-2.9,92.963,-40.8,1.268,5076.2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46.0,4,0,0,5,3,1.9395192526186185,0.6020599913279624,0,0,1.1,93.994,-36.4,4.858,5191.0,no,False,True,False,False,False,False,False,False,False,False,True,False,False,False
38.0,3,0,1,8,3,2.850033257689769,0.6989700043360189,0,0,1.4,93.444,-36.1,4.965,5228.1,yes,False,False,False,False,True,False,False,False,False,False,True,False,False,False
46.0,5,1,0,6,1,1.9867717342662448,0.9030899869919435,0,0,1.4,94.465,-41.8,4.961,5228.1,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
48.0,3,1,0,5,3,2.383815365980431,0.6020599913279624,0,0,1.1,93.994,-36.4,4.856,5191.0,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False
29.0,4,0,1,11,2,2.1903316981702914,0.6989700043360189,0,1,-0.1,93.2,-42.0,4.153,5195.8,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
20.0,6,1,1,6,3,2.330413773349191,0.47712125471966244,0,0,-2.9,92.963,-40.8,1.26,5076.2,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
56.0,6,0,1,11,3,2.367355921026019,0.47712125471966244,1,1,-3.4,92.649,-30.1,0.716,5017.5,yes,False,False,False,False,True,False,False,False,False,False,True,False,False,False
56.0,1,0,1,7,2,3.189209489582306,0.47712125471966244,0,0,1.4,93.918,-42.7,4.961,5228.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,False
34.0,6,0,1,7,4,2.9858753573083936,0.6989700043360189,0,0,-1.7,94.215,-40.3,0.81,4991.6,yes,False,False,False,False,False,True,False,False,False,False,False,True,False,False
20.0,6,1,0,5,3,2.708420900134713,0.7781512503836436,0,0,-1.8,93.876,-40.0,0.672,5008.7,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
60.0,6,1,1,5,4,2.5276299008713385,0.6989700043360189,1,1,-1.8,93.876,-40.0,0.683,5008.7,yes,False,False,False,True,False,False,False,False,False,False,True,False,False,False
49.0,3,0,0,6,4,3.060697840353612,0.6020599913279624,0,0,1.4,94.465,-41.8,4.866,5228.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,False
40.0,5,1,0,5,3,2.8686444383948255,0.6989700043360189,0,0,-0.1,93.444,-41.8,4.858,5191.0,no,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30.0,6,1,1,4,4,2.677606952720493,0.6020599913279624,0,0,-1.8,93.075,-47.1,1.365,5099.1,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
38.0,6,1,1,7,3,2.756636108245848,0.6020599913279624,0,0,1.4,93.918,-42.7,4.962,5228.1,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
52.0,6,1,1,7,1,2.938519725176492,0.6020599913279624,0,0,1.4,93.918,-42.7,4.962,5228.1,yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42.0,4,1,1,8,2,2.783903579272735,0.6989700043360189,0,0,1.4,93.444,-36.1,4.968,5228.1,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,False
35.0,6,0,0,5,3,2.4265112613645754,0.6020599913279624,0,0,1.1,93.994,-36.4,4.857,5191.0,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
45.0,6,0,0,5,2,2.322219294733919,0.47712125471966244,0,0,1.1,93.994,-36.4,4.857,5191.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
29.0,6,1,1,3,3,1.9822712330395684,0.7781512503836436,0,0,-1.8,92.843,-50.0,1.663,5099.1,yes,False,False,False,False,False,True,False,False,False,False,True,False,False,False
43.0,5,1,0,6,5,1.255272505103306,1.591064607026499,0,0,1.4,94.465,-41.8,4.959,5228.1,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
55.0,6,1,0,5,1,2.6148972160331345,0.6989700043360189,0,0,1.1,93.994,-36.4,4.857,5191.0,no,False,False,False,True,False,False,False,False,False,False,True,False,False,True
62.0,5,0,1,8,1,2.6085260335771943,0.47712125471966244,0,0,-0.1,93.444,-41.8,0.861,5076.2,yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31.0,6,0,1,5,1,2.7993405494535817,0.47712125471966244,0,1,-1.8,92.893,-46.2,1.299,5099.1,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False
39.0,3,0,1,5,4,1.6720978579357175,0.47712125471966244,0,0,-1.8,92.893,-46.2,1.266,5099.1,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False
35.0,5,1,1,7,2,2.869818207979328,0.47712125471966244,0,0,1.4,93.918,-42.7,4.962,5228.1,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,False
31.0,3,1,1,7,2,2.6464037262230695,0.47712125471966244,0,0,1.4,93.918,-42.7,4.961,5228.1,no,True,False,False,False,False,False,False,False,False,False,False,True,False,False
35.0,6,1,1,8,3,2.658964842664435,0.47712125471966244,0,0,1.4,93.444,-36.1,4.965,5228.1,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,False
38.0,6,0,1,4,2,2.0453229787866576,0.6020599913279624,0,0,-1.8,93.075,-47.1,1.405,5099.1,yes,False,False,False,False,False,True,False,False,False,False,True,False,False,False
60.0,4,0,0,5,3,2.5921767573958667,0.47712125471966244,0,0,1.1,93.994,-36.4,4.857,5191.0,no,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33.0,5,1,0,6,2,3.1290450598879582,0.6989700043360189,0,0,1.4,94.465,-41.8,4.961,5228.1,yes,False,False,False,False,False,False,True,False,False,False,True,False,False,False
19.0,1,1,1,9,3,2.598790506763115,0.6020599913279624,1,1,-1.1,94.199,-37.5,0.876,4963.6,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
27.0,6,1,1,4,4,2.392696953259666,0.6020599913279624,0,0,-1.8,93.075,-47.1,1.365,5099.1,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False
48.0,1,1,1,5,4,2.0293837776852097,0.6020599913279624,0,0,-1.8,92.893,-46.2,1.266,5099.1,no,False,False,False,False,False,False,True,False,False,False,False,True,False,True
