Rooms,Type,Price,Distance,Bathroom,Car,logLandsize,logBuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Method_S,Method_SP,Method_VB,Regionname_Northern_Metropolitan,Regionname_South_Eastern_Metropolitan,Regionname_Southern_Metropolitan,Regionname_Victoria,Regionname_Western_Metropolitan,month,year,day_of_week
2,1,1480000.0,2.5,1.0,1.0,2.307496037913213,2.103803720955957,1970.0,0,-37.7996,144.9984,4019.0,1,0,0,1,0,0,0,0,12,2016,5
2,1,1035000.0,2.5,1.0,0.0,2.1958996524092336,1.9030899869919435,1900.0,0,-37.8079,144.9934,4019.0,1,0,0,1,0,0,0,0,2,2016,3
3,1,1465000.0,2.5,2.0,0.0,2.130333768495006,2.1789769472931693,1900.0,0,-37.8093,144.9944,4019.0,0,1,0,1,0,0,0,0,3,2017,5
3,1,850000.0,2.5,2.0,1.0,1.9777236052888478,2.103803720955957,1970.0,0,-37.7969,144.9969,4019.0,0,0,0,1,0,0,0,0,3,2017,5
4,1,1600000.0,2.5,1.0,2.0,2.0827853703164503,2.155336037465062,2014.0,0,-37.8072,144.9941,4019.0,0,0,1,1,0,0,0,0,6,2016,5
2,1,941000.0,2.5,1.0,0.0,2.2600713879850747,2.103803720955957,1970.0,0,-37.8041,144.9953,4019.0,1,0,0,1,0,0,0,0,5,2016,5
3,1,1876000.0,2.5,2.0,0.0,2.3909351071033793,2.3242824552976926,1910.0,0,-37.8024,144.9993,4019.0,1,0,0,1,0,0,0,0,5,2016,5
2,1,1636000.0,2.5,1.0,2.0,2.4099331233312946,2.03342375548695,1890.0,0,-37.806,144.9954,4019.0,1,0,0,1,0,0,0,0,10,2016,5
3,1,1000000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,10,2016,5
2,3,745000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,10,2016,5
1,2,300000.0,2.5,1.0,1.0,0.0,2.103803720955957,1970.0,0,-37.8008,144.9973,4019.0,1,0,0,1,0,0,0,0,10,2016,5
2,1,1097000.0,2.5,1.0,2.0,2.3443922736851106,1.8808135922807914,1900.0,0,-37.801,144.9989,4019.0,1,0,0,1,0,0,0,0,10,2016,5
2,2,542000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,10,2016,5
2,2,760000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,0,1,0,1,0,0,0,0,12,2016,5
1,2,481000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,0,1,0,1,0,0,0,0,12,2016,5
